MEd,beff,bw,h,hf,cnom,fck,fi,n1,d,As1,ro1,As2,ro2,n2,Mcr,MRd,Wk,Cost
1550.0,900.0,800.0,500.0,100.0,30,16,8,1,466.0,50.26548245743669,0.0001225987377010651,0,0,0,49.408424,10.07947,352.69763,124.97040691233151
1550.0,900.0,800.0,500.0,100.0,30,16,8,2,466.0,100.53096491487338,0.0002451974754021302,0,0,0,55.987175,19.768097,115.65392,126.94081382466302
1550.0,900.0,800.0,500.0,100.0,30,16,8,3,466.0,150.79644737231007,0.0003677962131031953,0,0,0,59.5673,29.43837,59.8525,128.91122073699455
1550.0,900.0,800.0,500.0,100.0,30,16,8,4,466.0,201.06192982974676,0.0004903949508042604,0,0,0,62.445133,39.17905,37.871883,130.88162764932605
1550.0,900.0,800.0,500.0,100.0,30,16,8,5,466.0,251.32741228718345,0.0006129936885053255,0,0,0,64.53617,48.902214,26.99532,132.85203456165758
1550.0,900.0,800.0,500.0,100.0,30,16,8,6,466.0,301.59289474462014,0.0007355924262063906,0,0,0,66.132195,58.647846,20.542599,134.8224414739891
1550.0,900.0,800.0,500.0,100.0,30,16,8,7,466.0,351.85837720205683,0.0008581911639074557,0,0,0,67.61826,68.47923,16.285309,136.79284838632063
1550.0,900.0,800.0,500.0,100.0,30,16,8,8,466.0,402.1238596594935,0.0009807899016085208,0,0,0,69.1141,78.31825,13.315998,138.76325529865215
1550.0,900.0,800.0,500.0,100.0,30,16,8,9,466.0,452.3893421169302,0.0011033886393095858,0,0,0,70.415184,88.16393,11.136325,140.73366221098365
1550.0,900.0,800.0,500.0,100.0,30,16,8,10,466.0,502.6548245743669,0.001225987377010651,0,0,0,71.75604,98.015564,9.473471,142.70406912331518
1550.0,900.0,800.0,500.0,100.0,30,16,8,11,466.0,552.9203070318035,0.001348586114711716,0,0,0,73.484726,107.77212,8.173234,144.6744760356467
1550.0,900.0,800.0,500.0,100.0,30,16,8,12,466.0,603.1857894892403,0.0014711848524127811,0,0,0,75.29042,117.374695,7.133205,146.6448829479782
1550.0,900.0,800.0,500.0,100.0,30,16,8,13,466.0,653.451271946677,0.0015937835901138463,0,0,0,77.01199,126.91146,6.292874,148.61528986030973
1550.0,900.0,800.0,500.0,100.0,30,16,8,14,466.0,703.7167544041137,0.0017163823278149113,0,0,0,78.63525,136.43063,5.605234,150.58569677264126
